sourceID,sourceType,sourceLocation,destinationServiceType,destinationLocation,accessedNodeType,operation,value,timestamp,normality
81,7,0,0,6,1,1,6,29125,7
66,4,3,4,3,8,3,7007,15778,7
64,4,1,4,1,8,3,7243,26741,7
22,2,11,4,11,8,1,5157,24715,7
4,0,5,0,5,2,1,8037,8673,7
81,7,0,0,6,1,3,7,15240,7
1,0,6,0,6,1,1,7,41391,7
22,2,11,3,11,4,1,1,17125,7
16,2,8,3,8,4,1,1,36646,7
77,4,4,4,4,8,3,3258,38883,7
0,0,6,0,6,1,3,1,18264,7
32,2,4,3,4,4,1,0,29106,7
75,4,20,4,20,8,3,2665,30806,7
83,7,9,0,5,1,1,7,42241,7
25,2,15,4,15,8,1,4757,24011,7
20,2,9,3,9,4,1,0,13445,7
2,0,7,0,7,2,1,8037,41574,7
83,7,9,0,5,1,3,11,840,7
72,4,17,4,17,8,3,5419,22202,7
75,4,20,4,20,8,3,5484,15825,7
73,4,18,4,18,8,3,6723,28790,7
20,2,9,3,9,4,1,0,10952,7
64,4,1,4,1,8,3,3969,45981,7
72,4,17,4,17,8,3,1685,41639,7
64,4,1,4,1,8,3,1307,11440,7
66,4,3,4,3,8,3,1878,3162,7
4,0,5,0,5,1,3,12,4561,7
83,7,9,0,5,2,3,8037,2458,7
34,2,6,3,6,4,1,0,13493,7
18,2,5,3,5,4,1,1,11463,7
80,4,0,4,0,8,3,6630,30151,7
76,4,12,4,12,8,3,2153,9938,7
22,2,11,4,11,8,1,7355,29459,7
20,2,9,3,9,4,1,1,43288,7
2,0,7,0,7,2,1,8037,14736,7
26,2,16,3,16,4,1,0,25749,7
30,2,20,3,20,4,1,0,17563,7
66,4,3,4,3,8,3,3190,2764,7
77,4,4,4,4,8,3,4010,4784,7
15,2,2,4,2,8,1,4747,31558,7
83,7,9,0,5,1,1,9,10155,7
70,4,15,4,15,8,3,2191,11194,7
63,4,10,4,10,8,3,1119,40262,7
83,7,9,0,5,1,1,13,21203,7
33,2,7,3,7,4,1,0,25682,7
24,2,14,3,14,4,1,0,34038,7
0,0,6,0,6,1,1,6,40064,7
4,0,5,0,5,1,1,2,4864,7
0,0,6,0,6,2,1,8037,13812,7
83,7,9,0,5,1,1,6,28629,7
33,2,7,4,7,8,1,5672,28072,7
82,7,10,0,10,2,1,8037,44780,7
24,2,14,3,14,4,1,1,37958,7
65,4,9,4,9,8,3,3396,40614,7
81,7,0,0,6,1,1,10,42732,7
82,7,10,0,10,1,3,0,36075,7
28,2,18,3,18,4,1,1,27080,7
26,2,16,3,16,4,1,1,32184,7
64,4,1,4,1,8,3,7533,40966,7
0,0,6,0,6,1,1,10,32982,7
81,7,0,0,6,1,1,4,41180,7
30,2,20,4,20,8,1,5715,35356,7
17,2,10,4,10,8,1,7799,33893,7
68,4,13,4,13,8,3,7383,34869,7
83,7,9,0,5,1,1,6,30911,7
1,0,6,0,6,1,3,11,15171,7
80,4,0,4,0,8,3,3899,41393,7
79,4,6,4,6,8,3,6491,414,7
2,0,7,0,7,2,1,8037,1085,7
20,2,9,3,9,4,1,1,9948,7
22,2,11,3,11,4,1,1,16747,7
16,2,8,3,8,4,1,1,32898,7
83,7,9,0,5,1,1,2,36202,7
16,2,8,4,8,8,1,6391,38195,7
66,4,3,4,3,8,3,6082,43702,7
4,0,5,0,5,1,1,9,35345,7
15,2,2,3,2,4,1,0,3878,0
28,2,18,4,18,8,1,6609,21496,7
78,4,7,4,7,8,3,7402,23602,7
1,0,6,0,6,1,1,2,1597,7
63,4,10,4,10,8,3,3399,29270,7
24,2,14,3,14,4,1,1,45944,7
81,7,0,0,6,2,1,8037,29746,7
81,7,0,0,6,1,1,11,36519,7
61,4,2,4,2,8,3,7676,37590,7
3,0,10,0,10,2,1,8037,37458,7
0,0,6,0,6,2,1,8037,8788,7
17,2,10,3,10,4,1,1,28838,7
32,2,4,3,4,4,1,1,2261,7
21,2,3,4,3,8,1,3032,24604,7
83,7,9,0,5,1,3,12,43455,7
0,0,6,0,6,1,1,1,43956,7
83,7,9,0,5,2,1,8037,40664,7
4,0,5,0,5,1,1,10,15666,7
34,2,6,3,6,4,1,1,31336,7
